path	pym_chars	pym_picture_marker	pym_first120	verdict
babylonstoren/33_ELLE-Sep-2013.pdf	0	0		C_other
babylonstoren/CNTGoldListJan2017US.pdf	163	1	JANUARY 2017   TRUTH IN TRAVEL   **==> picture [31 x 31] intentionally omitted <==**  HULA _in_ HAWAII BARBADOS’ _Hidden	A_image_text
babylonstoren/CNT_November_2016.pdf	379	1	NOVEMBER 2016   TRUTH IN TRAVEL   **==> picture [83 x 74] intentionally omitted <==**  **==> picture [74 x 74] intention	A_image_text
babylonstoren/Conde_Nast_Traveler_US_Gold_List_Feb_2018.pdf	324	1	**==> picture [677 x 801] intentionally omitted <==**  **----- Start of picture text -----**<br> TRUTH IN TRAVEL VOLUME 	A_image_text
babylonstoren/Vogue_November_2017_UK.pdf	1	0		C_other
babylonstoren/lufthansa-1539600052.pdf	72	1	**==> picture [169 x 132] intentionally omitted <==**  **Lufthansa**	A_image_text
babylonstoren/my-fair-lady-march-2019-sa.pdf	0	0		C_other
badrutts-palace-hotel/badrutts-palace-hotel-pr-presskit-2025.pdf	1977	1	**==> picture [317 x 56] intentionally omitted <==**  ## **GENERAL INFORMATION**   Anikó Badrutt   ## **MAJORITY SHAREHO	A_image_text
belmond-grand-hotel-timeo/GHT-PICNIC-MENU.pdf	111	1	**==> picture [295 x 845] intentionally omitted <==**  **==> picture [296 x 845] intentionally omitted <==**	A_image_text
belmond-hotel-das-cataratas/Menu-Ipe-Lunch.pdf	57	1	**==> picture [610 x 1078] intentionally omitted <==**	A_image_text
belmond-la-samanna/LAS-CORAIL-BREAKFAST-MENU.pdf	1300	1	**==> picture [123 x 101] intentionally omitted <==**  ## SWEET AND HEALTHY BOWLS   **TROPICAL BIRSHER MUESLI** 5, 7, 8 	A_image_text
belmond-la-samanna/LAS_Menu_LaCave.pdf	56	1	**==> picture [282 x 402] intentionally omitted <==**	A_image_text
hotel-eden-rome/hotel-eden-rome-il-giardino-bar-menu-nov25.pdf	1081	0	## **I L  G I A R D I N O  B A R  S I G N AT U R E S**   _Signature cocktails_   ## **L A  G R A N D E  B E L L E Z Z A*	B_real_text_zpdf_bug
hotel-eden-rome/hotel-eden-rome-il-giardino-ristorante-allday-dining-menu-nov25.pdf	110	1	**==> picture [369 x 369] intentionally omitted <==**  **==> picture [171 x 38] intentionally omitted <==**	A_image_text
hotel-eden-rome/hotel-eden-rome-il-giardino-ristorante-breakfast-jan25.pdf	2754	1	**==> picture [171 x 38] intentionally omitted <==**  ## **E D E N  B R E A K FA S T**   €45   Continental breakfast   S	A_image_text
hotel-eden-rome/hotel-eden-rome-la-terrazza-dessert-menu-nov25.pdf	1162	1	## D O L C E - V I T A   H A Z E L N U T  ‘ Z U C C O T T O ’   **==> picture [29 x 8] intentionally omitted <==**  T I 	A_image_text
hotel-eden-rome/hotel-eden-rome-la-terrazza-menu-winter25.pdf	56	1	**==> picture [329 x 310] intentionally omitted <==**	A_image_text
hotel-eden-rome/hotel-eden-rome-theedenspa-brochure-en-feb25.pdf	1	0		C_other
kokomo-private-island/2023-06-edible-la.pdf	206	1	**==> picture [521 x 29] intentionally omitted <==**  **----- Start of picture text -----**<br> :<br>diego argoti of est	A_image_text
sandy-lane/afternoon-tea-menu-final-ua-64da9e04d182e.pdf	1164	1	**==> picture [38 x 41] intentionally omitted <==**  ## **SPECIALTY LEAF TEAS**   ## **Organic Earl Grey**   Rested, Han	A_image_text
sandy-lane/non_resident_spa_brochure_website_final-ua-661432ee66856.pdf	56	1	**==> picture [526 x 372] intentionally omitted <==**	A_image_text
sandy-lane/spa-cafe-and-pool-lunch-menu-final-ua-64da9f735d4d0.pdf	2043	1	**==> picture [57 x 61] intentionally omitted <==**  ## SPA CAFÉ & POOL   |SPA CAFÉ & POOL|| |---|---| |APPETISERS|| |Ca	A_image_text
shangri-la-boracay/2025-Sirena-Menu-updated-as-of-Dec-16-2025.pdf	1880	1	**==> picture [70 x 220] intentionally omitted <==**  ## SPECIALS   ## Oysters and Caviar   ## Gallagher Oyster   Handpi	A_image_text
shangri-la-boracay/Cielo-Food-Menu-2025.pdf	10398	1	**==> picture [842 x 1314] intentionally omitted <==**  **----- Start of picture text -----**<br> SMALL BITES  Php Circl	A_image_text
shangri-la-boracay/RIMA-MENU-Ala-Carte-Food-Menu-as-of-5-Jan-2026.pdf	214	1	## •   ## **E-CONCIERGE**   Everything at your fingerprints   **==> picture [105 x 105] intentionally omitted <==**  You	A_image_text
soneva-fushi/easter-celebrations-at-soneva.pdf	86	1	**==> picture [44 x 47] intentionally omitted <==**  Easter Celebrations at Soneva	A_image_text
soneva-jani/easter-celebrations-at-soneva.pdf	86	1	**==> picture [44 x 47] intentionally omitted <==**  Easter Celebrations at Soneva	A_image_text
soneva-secret/easter-celebrations-at-soneva.pdf	86	1	**==> picture [44 x 47] intentionally omitted <==**  Easter Celebrations at Soneva	A_image_text
taj-umaid-bhawan-palace/umaid-bhawan-palace-jodhpur-mice-factsheet.pdf	81	1	**==> picture [188 x 112] intentionally omitted <==**  # EVENTS AND OCCASIONS	A_image_text
the-reverie-saigon/The-Long-Drinks-Menu.pdf	1	0		C_other
the-reverie-saigon/The-Reverie-Saigon-Wine-List.pdf	43	0	# **THE REVERIE SAIGON WINE SELECTION**	C_other
vakkaru-maldives/Alistair-Burt-Head-Pastry-Chef-of-Harrods-London-at-Vakkaru-Maldives.pdf	3544	1	**==> picture [63 x 77] intentionally omitted <==**  “Going Beyond Chocolate” with Alistair Birt, Head Pastry Chef of Ha	A_image_text
vakkaru-maldives/ayurveda-by-siddhalepa.pdf	1353	1	**==> picture [596 x 210] intentionally omitted <==**  **----- Start of picture text -----**<br>  REJUVENATE<br>BODY, MI	A_image_text
vakkaru-maldives/hack-your-21st-century-digitised-body.pdf	2754	1	**==> picture [70 x 86] intentionally omitted <==**  “Hack Your 21[st] Century Digitised Body” with fitness expert to th	A_image_text
vakkaru-maldives/masterchef-marcel-thiele-brings-sustainable-and-ethical-culinary-experience.pdf	2272	1	MasterChef Marcel Thiele Brings Sustainable and Ethical Culinary Experience to Vakkaru Maldives   **==> picture [167 x 1	A_image_text
vakkaru-maldives/vakkaru-maldives-a-timeless-sanctuary-in-unesco-biosphere-reserve.pdf	4210	1	**==> picture [59 x 73] intentionally omitted <==**  ## **VAKKARU MALDIVES - A TIMELESS SANCTUARY IN UNESCO BIOSPHERE RE	A_image_text
vakkaru-maldives/vakkaru-maldives-awarded-favorite-romantic-getaway.pdf	3987	1	**==> picture [59 x 73] intentionally omitted <==**  ## **VAKKARU MALDIVES AWARDED FAVORITE ROMANTIC GETAWAY BY CONDÉ NA	A_image_text
vakkaru-maldives/vakkaru-maldives-irish-daily-mail-22-07-2019.pdf	2140	1	Page **42**   ## ~~_**TRAVEL**_~~   _**by**_ **Andrew HArris** curious country, the Maldives. over 1,000, mostly uninhab	A_image_text
vakkaru-maldives/vakkaru-maldives_house-and-garden_june-2019.pdf	2312	1	**==> picture [575 x 56] intentionally omitted <==**  **----- Start of picture text -----**<br> HOUSE & GARDEN  PARTNERS	A_image_text
